"4WHA_C5_S24","4WHA_C6_S25","4WHA_C7_S26","4WHA_C8_S27","4WHA_H5_S47","4WHA_H6_S48","4WHA_H7_S49","4WHA_H8_S50","C10_S37","C7_S34","C8_S35","C9_S36","CV1_H_S28","CV2_H_S29","CV3_H_S30","CV4_H_S31","CV5_H_S32","CV6_H_S33","HA1_H_S38","HA2_H_S39","HA3_H_S40","HA4_H_S41","HA5_H_S42","HA6_H_S43","HA7_H_S44","HA8_H_S45","HA9_H_S46","Pool_control_S51"
0,0,0,0,303,22,0,0,5153,603,1744,821,5778,4849,1345,0,2611,0,4589,1870,43,473,2513,830,305,3745,2351,0
0,0,0,3220,3406,3715,2693,4381,0,0,0,0,0,0,0,0,0,0,0,6,0,588,5061,28,2855,2442,4033,0
0,0,0,0,0,35,0,0,3791,294,930,1009,4268,1556,410,1101,784,463,5144,1024,129,1126,1063,2738,1474,1045,3550,0
1384,2320,1231,2269,1573,0,1914,0,505,1354,873,604,335,1062,2552,2052,2602,1601,0,2333,319,0,2140,2045,0,677,5,0
120,526,184,576,1389,891,550,747,2356,820,1038,1919,160,234,881,1022,2217,754,283,1823,96,1803,1425,904,719,236,619,0
123,658,256,551,1161,1270,737,1022,2682,891,1157,2263,214,230,1074,1119,2423,729,187,1210,0,1199,1053,678,490,183,516,0
243,971,383,1947,1430,781,715,687,1197,621,936,1365,207,383,1726,1067,1158,272,226,1726,113,1699,991,2058,495,106,487,0
0,0,0,2143,3413,0,0,0,80,0,64,0,2951,454,324,274,2524,394,510,38,0,914,172,701,1703,3770,1698,0
6592,21,3441,1989,3982,823,134,133,0,0,0,0,0,0,0,0,0,0,55,2386,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,1761,1275,66,35,2153,548,54,485,31,3534,990,265,367,733,785,37,2412,2841,0
1788,1743,4810,1150,11,60,213,532,41,12,152,31,740,4,447,44,225,9,547,560,255,43,519,247,1385,0,2269,0
0,0,0,0,0,0,0,0,0,38,458,0,2486,3336,314,1019,577,0,2964,270,256,99,369,1339,1446,1531,563,0
181,4514,647,268,0,2993,1423,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,154,0,0,0,0
0,0,0,0,1367,1206,1634,1359,155,471,594,265,0,0,0,0,0,0,495,1068,347,1111,694,454,722,649,516,0
0,0,0,0,0,0,0,0,0,994,2457,1200,1251,0,0,0,0,0,0,0,0,0,34,825,3406,1450,672,0
5700,499,46,0,0,1624,136,2513,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,55,0,0,0
0,0,0,0,0,0,0,0,20,986,744,47,40,1135,313,0,332,37,2037,575,240,201,329,428,25,1402,1660,0
0,0,0,0,0,0,0,0,27,1067,819,38,0,1110,271,28,365,0,2018,590,0,248,380,382,0,1339,1582,0
0,0,0,1204,663,0,0,0,0,0,0,357,318,684,0,923,602,0,0,0,0,146,333,1955,503,1331,1095,0
0,0,0,0,0,340,922,146,165,11,0,46,134,420,619,2449,952,1601,128,146,445,497,40,137,40,0,75,0
589,517,4046,305,345,500,1468,154,0,0,0,0,244,48,23,0,0,0,37,220,0,0,0,0,254,498,64,0
0,0,0,0,80,0,0,0,1191,115,382,188,1296,1122,307,0,590,0,1094,384,0,105,543,152,82,876,516,0
0,0,0,0,0,0,0,0,58,0,536,502,373,837,104,921,478,0,896,0,35,1847,867,29,551,292,0,0
0,32,0,32,1339,140,19,18,0,0,0,0,0,0,0,0,0,0,1196,903,0,1604,394,372,616,659,491,0
0,0,0,0,0,0,0,0,0,1238,0,0,0,1278,3184,1400,384,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,317,595,1012,264,0,0,21,0,581,629,200,621,153,38,924,298,0,83,112,110,724,440,288,0
53,1366,223,1098,60,336,960,1296,12,37,41,0,0,108,163,53,40,0,55,558,0,189,204,420,128,27,11,0
0,0,0,0,0,0,0,0,0,172,373,0,432,1542,289,0,288,0,459,286,32,154,477,979,147,1415,329,0
0,25,0,0,507,0,0,0,110,90,140,101,598,1507,335,242,336,80,865,131,126,22,159,197,595,640,433,0
0,0,0,87,2755,0,0,0,222,0,50,86,38,85,0,242,145,363,526,0,219,278,525,106,265,387,779,0
0,0,0,76,2693,0,0,0,185,0,76,92,41,95,46,240,133,319,592,0,198,277,446,101,272,348,805,0
329,1049,132,764,529,334,376,413,25,0,0,68,10,15,237,364,318,636,92,518,179,152,87,150,135,17,73,0
2495,74,2646,142,0,351,833,160,0,45,0,0,0,20,0,0,0,109,0,0,0,0,0,0,0,0,21,0
0,0,6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,202,30,829,635,273,325,24,262,137,231,84,195,214,2146,242,297,127,31,0,97,0,176,38,0,0,0
2519,55,2671,124,0,330,688,144,0,18,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,184,0,0,0,3692,1356,1304,0,0,0,0,0,0,0
0,0,0,270,0,0,0,0,467,820,368,778,321,383,473,520,535,422,201,0,0,96,86,281,133,125,157,0
0,17,26,721,376,76,2081,1369,0,130,32,0,110,80,474,16,592,0,19,15,67,0,0,0,81,127,24,0
2634,0,407,60,1097,175,259,42,0,0,0,0,434,65,137,331,0,147,170,42,34,0,44,72,0,75,0,0
0,126,64,0,0,0,0,0,0,61,0,205,0,381,986,0,0,0,128,2412,159,1068,30,276,69,0,232,0
0,680,257,0,0,0,28,2551,0,264,179,0,0,33,101,232,63,11,10,198,79,114,492,466,291,16,41,0
0,849,0,680,40,0,0,0,39,115,0,467,121,433,595,387,6,773,1305,0,17,0,195,31,0,0,20,0
