"";"4WHA_C5_S24";"4WHA_C6_S25";"4WHA_C7_S26";"4WHA_C8_S27";"4WHA_H5_S47";"4WHA_H6_S48";"4WHA_H7_S49";"4WHA_H8_S50";"C10_S37";"C7_S34";"C8_S35";"C9_S36";"CV1_H_S28";"CV2_H_S29";"CV3_H_S30";"CV4_H_S31";"CV5_H_S32";"CV6_H_S33";"HA1_H_S38";"HA2_H_S39";"HA3_H_S40";"HA4_H_S41";"HA5_H_S42";"HA6_H_S43";"HA7_H_S44";"HA8_H_S45";"HA9_H_S46";"Pool_control_S51"
"ASV1";"0";"0";"0";"0";"308";"22";"0";"0";"5167";"609";"1749";"847";"5780";"4889";"1359";"0";"2637";"0";"4621";"1863";"44";"479";"2531";"844";"305";"3767";"2378";"0"
"ASV2";"0";"0";"0";"3221";"3409";"3712";"2696";"4376";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"586";"5058";"27";"2852";"2443";"4035";"0"
"ASV3";"0";"0";"0";"0";"0";"38";"0";"0";"3794";"303";"932";"1024";"4271";"1560";"411";"1100";"792";"467";"5156";"1029";"128";"1125";"1068";"2743";"1479";"1058";"3553";"0"
"ASV4";"1377";"2316";"1229";"2273";"1571";"0";"1918";"0";"506";"1352";"874";"603";"336";"1060";"2547";"2051";"2595";"1598";"0";"2327";"316";"0";"2137";"2041";"0";"677";"5";"0"
"ASV5";"121";"532";"191";"570";"1374";"886";"544";"752";"2366";"807";"1044";"1920";"162";"233";"871";"1017";"2206";"739";"290";"1822";"94";"1797";"1441";"891";"725";"235";"626";"0"
"ASV6";"241";"969";"384";"1943";"1433";"800";"718";"686";"1196";"619";"938";"1383";"207";"382";"1727";"1065";"1161";"271";"225";"1730";"112";"1686";"987";"2016";"496";"106";"485";"0"
"ASV7";"124";"647";"240";"552";"1140";"1258";"735";"1004";"2674";"874";"1117";"2232";"217";"229";"1052";"1106";"2374";"727";"179";"1160";"0";"1186";"1024";"680";"476";"180";"504";"0"
"ASV8";"0";"0";"0";"2136";"3429";"0";"0";"0";"82";"0";"64";"0";"2948";"459";"321";"275";"2536";"394";"515";"38";"0";"912";"173";"714";"1714";"3768";"1729";"0"
"ASV9";"6558";"21";"3442";"1983";"4038";"820";"134";"131";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"2386";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV10";"0";"0";"0";"0";"0";"0";"0";"0";"30";"1770";"1283";"67";"0";"2174";"555";"54";"494";"30";"3550";"1007";"268";"369";"748";"798";"39";"2435";"2869";"0"
"ASV11";"1794";"1740";"4810";"1164";"11";"61";"210";"535";"40";"13";"153";"31";"746";"5";"448";"44";"226";"9";"543";"564";"255";"41";"519";"251";"1388";"3";"2271";"0"
"ASV12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"466";"0";"2500";"3350";"317";"1030";"585";"0";"2970";"267";"250";"100";"369";"1328";"1440";"1529";"570";"0"
"ASV13";"182";"4494";"646";"264";"0";"2994";"1420";"3006";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75";"156";"0";"0";"0";"0"
